"Filename","ExpectedStateBlocks","TestsBothSides","Category"
"constraint-collective","2","Yes","constraint"
"constraint-cost-field","2","Yes","constraint"
"constraint-cost-limit-linked","2","Yes","constraint"
"constraint-cost-max-linked","2","Yes","constraint"
"constraint-cost-min-linked","2","Yes","constraint"
"constraint-entry-link-merged","2","Yes","constraint"
"constraint-entry-link-own","2","Yes","constraint"
"constraint-entry-link-shared-counting","3","Yes","constraint"
"constraint-entry-link-shared-target","2","Yes","constraint"
"constraint-forces-field-min-error","2","Yes","constraint"
"constraint-forces-field-on-forceentry","3","Yes","constraint"
"constraint-forces-field-per-type","4","Yes","constraint"
"constraint-forces-field","2","Yes","constraint"
"constraint-hidden-enforcement","2","Yes","constraint"
"constraint-hidden-violation-linked","2","Yes","constraint"
"constraint-include-child-forces","2","Yes","constraint"
"constraint-include-child-selections","2","Yes","constraint"
"constraint-max-exactly-at-limit","3","Yes","constraint"
"constraint-max-satisfied","2","Yes","constraint"
"constraint-max-unlimited","2","Yes","constraint"
"constraint-max-violation-linked","3","Yes","constraint"
"constraint-max-violation","3","Yes","constraint"
"constraint-min-and-max","3","Yes","constraint"
"constraint-min-on-force-linked","2","Yes","constraint"
"constraint-min-satisfied","1","No","constraint"
"constraint-min-uncategorised-skipped","1","No","constraint"
"constraint-min-violation-linked","2","Yes","constraint"
"constraint-min-violation","2","Yes","constraint"
"constraint-min-zero-no-error","1","No","constraint"
"constraint-modified-by-modifier","3","Yes","constraint"
"constraint-multiple-entries-independent","2","Yes","constraint"
"constraint-multiple-errors-linked","2","Yes","constraint"
"constraint-no-constraints","2","Yes","constraint"
"constraint-percent-value","2","Yes","constraint"
"constraint-shared-deduplication","2","Yes","constraint"
"constraint-shared-linked","2","Yes","constraint"
"constraint-shared","2","Yes","constraint"
"entry-link-cascading-modifiers","1","No","modifier"
"infogroup-with-modifiers","1","No","modifier"
"modifier-append-name","1","No","modifier"
"modifier-append-with-space","1","No","modifier"
"modifier-category-add","1","No","modifier"
"modifier-category-remove","1","No","modifier"
"modifier-category-set-primary","1","No","modifier"
"modifier-category-unset-primary","1","No","modifier"
"modifier-characteristic-value","1","No","modifier"
"modifier-conditional-boolean-toggle","1","No","modifier"
"modifier-conditional-false-keeps-base-cost","1","No","modifier"
"modifier-conditional-increment-cost","2","Yes","modifier"
"modifier-conditional-set-name","1","No","modifier"
"modifier-conditional-toggle","2","Yes","modifier"
"modifier-decrement-below-zero","1","No","modifier"
"modifier-decrement-cost","1","No","modifier"
"modifier-decrement-name","1","No","modifier"
"modifier-entry-page","1","No","modifier"
"modifier-field-constraint-value","1","No","modifier"
"modifier-field-hidden","1","No","modifier"
"modifier-group-basic","1","No","modifier"
"modifier-group-false-condition","1","No","modifier"
"modifier-group-nested","1","No","modifier"
"modifier-group-with-repeat","1","No","modifier"
"modifier-increment-cost","1","No","modifier"
"modifier-increment-name","1","No","modifier"
"modifier-multiple-groups","1","No","modifier"
"modifier-multiple-on-same-entry","1","No","modifier"
"modifier-no-modifier","1","No","modifier"
"modifier-number-decrement","1","No","modifier"
"modifier-number-set","1","No","modifier"
"modifier-on-profile","1","No","modifier"
"modifier-order-set-then-append","1","No","modifier"
"modifier-repeat-basic","1","No","modifier"
"modifier-repeat-include-child-selections","1","No","modifier"
"modifier-repeat-multiple-additive","1","No","modifier"
"modifier-repeat-percent-value","1","No","modifier"
"modifier-repeat-round-down","1","No","modifier"
"modifier-repeat-round-up","1","No","modifier"
"modifier-repeat-zero-threshold","1","No","modifier"
"modifier-rule-description","1","No","modifier"
"modifier-set-boolean","1","No","modifier"
"modifier-set-constraint","1","No","modifier"
"modifier-set-cost","1","No","modifier"
"modifier-set-hidden-true","1","No","modifier"
"modifier-set-name","1","No","modifier"
"modifier-string-decrement-non-numeric","1","No","modifier"
"modifier-string-increment-numeric","1","No","modifier"
"condition-at-least","2","Yes","condition"
"condition-at-most","1","No","condition"
"condition-childid-catalogue","1","No","condition"
"condition-childid-force-entry","1","No","condition"
"condition-childid-group","1","No","condition"
"condition-equal-to-zero","1","No","condition"
"condition-equal-to","1","No","condition"
"condition-false-prevents-modifier","1","No","condition"
"condition-greater-than","3","Yes","condition"
"condition-group-and-fails","1","No","condition"
"condition-group-and","1","No","condition"
"condition-group-nested","1","No","condition"
"condition-group-or","1","No","condition"
"condition-group-triple-nested","1","No","condition"
"condition-instance-of-ancestor","1","No","condition"
"condition-instance-of-by-category","1","No","condition"
"condition-instance-of-by-type","2","Yes","condition"
"condition-instance-of-catalogue","1","No","condition"
"condition-instance-of-force-entry","1","No","condition"
"condition-instance-of-group","1","No","condition"
"condition-instance-of-roster-scope","1","No","condition"
"condition-instance-of","1","No","condition"
"condition-less-than","1","No","condition"
"condition-multiple-and","3","Yes","condition"
"condition-not-equal-to","1","No","condition"
"condition-not-instance-of","2","Yes","condition"
"condition-null-childid-nr-force","2","Yes","condition"
"condition-null-childid-nr-self","1","No","condition"
"condition-null-childid","1","No","condition"
"condition-percent-value","2","Yes","condition"
"condition-scope-roster","2","Yes","condition"
"scope-ancestor","1","No","scope"
"scope-child-id-filter","1","No","scope"
"scope-force-trigger-in-same-force","1","No","scope"
"scope-force-vs-roster","1","No","scope"
"scope-force","2","Yes","scope"
"scope-forces-field","1","No","scope"
"scope-include-child-forces-nested","1","No","scope"
"scope-include-child-forces","1","No","scope"
"scope-parent","2","Yes","scope"
"scope-primary-catalogue","1","No","scope"
"scope-primary-category","1","No","scope"
"scope-roster-cross-force","2","Yes","scope"
"scope-roster","2","Yes","scope"
"scope-self","1","No","scope"
